,timestamp,open_ETH_ftx_1H,high_ETH_ftx_1H,low_ETH_ftx_1H,close_ETH_ftx_1H,volume_ETH_ftx_1H,price
3712,2021-04-29 23:00:00,2765.6,2771.2,2754.1,2758.9,427230.193,2758.9
3713,2021-04-30 00:00:00,2758.9,2769.6,2728.9,2735.4,63944.4905,2735.4
3714,2021-04-30 01:00:00,2735.4,2753.6,2729.5,2746.2,11204095.5778,2746.2
3715,2021-04-30 02:00:00,2746.2,2747.8,2729.0,2741.1,52644.9377,2741.1
3716,2021-04-30 03:00:00,2741.1,2748.3,2732.8,2744.0,483531.651,2744.0
3717,2021-04-30 04:00:00,2744.0,2767.1,2744.0,2767.1,225074.8359,2767.1
3718,2021-04-30 05:00:00,2767.1,2776.3,2759.3,2776.0,7670.7365,2776.0
3719,2021-04-30 06:00:00,2776.0,2790.0,2766.4,2790.0,68445.302,2790.0
3720,2021-04-30 07:00:00,2790.0,2795.1,2774.4,2777.9,198.1141,2777.9
3721,2021-04-30 08:00:00,2777.9,2795.4,2762.4,2785.1,18289.2371,2785.1
3722,2021-04-30 09:00:00,2785.1,2798.7,2776.3,2776.3,24929.3371,2776.3
3723,2021-04-30 10:00:00,2776.3,2784.3,2758.6,2760.0,420655.0973,2760.0
3724,2021-04-30 11:00:00,2760.0,2765.9,2732.7,2738.1,21156.8951,2738.1
3725,2021-04-30 12:00:00,2738.1,2756.1,2734.0,2750.7,13334.9178,2750.7
3726,2021-04-30 13:00:00,2750.7,2753.5,2727.6,2737.7,73815.4861,2737.7
3727,2021-04-30 14:00:00,2737.7,2768.8,2729.4,2738.3,113185.4162,2738.3
3728,2021-04-30 15:00:00,2738.3,2754.5,2736.6,2738.8,133175.2594,2738.8
3729,2021-04-30 16:00:00,2738.8,2775.7,2736.9,2775.0,96299.2923,2775.0
3730,2021-04-30 17:00:00,2775.0,2775.0,2754.9,2761.8,33303.2886,2761.8
3731,2021-04-30 18:00:00,2761.8,2779.6,2758.7,2778.6,57097.4683,2778.6
3732,2021-04-30 19:00:00,2778.6,2788.2,2776.9,2786.7,171655.5189,2786.7
3733,2021-04-30 20:00:00,2786.7,2786.8,2755.3,2765.2,47612.3582,2765.2
3734,2021-04-30 21:00:00,2765.2,2768.8,2747.9,2757.9,43199.8143,2757.9
3735,2021-04-30 22:00:00,2757.9,2758.1,2741.6,2747.6,94308.1477,2747.6
3736,2021-04-30 23:00:00,2747.6,2778.7,2746.0,2777.4,33613.4445,2777.4
3737,2021-05-01 00:00:00,2777.4,2780.7,2766.6,2772.1,84001.3624,2772.1
3738,2021-05-01 01:00:00,2772.1,2802.3,2757.4,2802.3,44828.4022,2802.3
3739,2021-05-01 02:00:00,2802.3,2840.7,2801.9,2825.4,805574.155,2825.4
3740,2021-05-01 03:00:00,2825.4,2850.1,2825.4,2843.0,49785.1784,2843.0
