,timestamp_compound_2H,block_number_compound_2H,exchange_rates_compound_2H,borrow_rates_compound_2H,supply_rates_compound_2H,total_borrows_history_compound_2H,total_supply_history_compound_2H,prices_usd_compound_2H
7471,2021-10-03 08:00:00,13296975,0.02219834313584114,0.056640217257056626,0.04201762791097362,3637990966.36097972,202924345456.70720525,0.000000
7472,2021-10-03 08:59:56,13297248,0.022198454699237535,0.05658570292885302,0.04197526745571942,3637771475.21030986,202921511564.55964815,1.000000
7473,2021-10-03 10:00:00,13297522,0.02219853047720575,0.05615887392959053,0.04164388368536167,3634607316.62171614,202825989770.30523376,0.000000
7474,2021-10-03 11:00:03,13297796,0.022198660078956985,0.056627386826961314,0.042007656820377465,3631973756.98047627,202588267986.50379787,1.000000
7475,2021-10-03 12:00:00,13298070,0.022198760885927697,0.05661919485277219,0.0420012904496411,3632029202.04142100,202592005179.08083122,0.000000
7476,2021-10-03 12:59:56,13298343,0.022198865131762686,0.05664723626345917,0.04202308667742716,3631889836.00170694,202577926832.64775166,1.000000
7477,2021-10-03 14:00:00,13298617,0.022198990796783676,0.056756049925433774,0.042107657248018085,3631764720.22594650,202549024300.98012023,0.000000
7478,2021-10-03 15:00:03,13298891,0.02219908101545675,0.05677921794393952,0.04212566660284606,3631794972.78383986,202545465933.57392494,1.000000
7479,2021-10-03 16:00:00,13299165,0.022199181754017437,0.05653657706255153,0.0419371149680132,3631274277.27149988,202561836966.56521179,0.000000
7480,2021-10-03 16:59:56,13299438,0.02219927079607901,0.0562662764361687,0.04172710014161094,3630402818.71461269,202564039665.08875910,1.000000
7481,2021-10-03 18:00:00,13299712,0.022199400954278803,0.05621648187523386,0.041688426281442106,3630259041.73652343,202564345154.06160322,0.000000
7482,2021-10-03 19:00:03,13299986,0.022199504591999954,0.05638115308714447,0.04181634201364295,3630516418.52140139,202546298593.59661280,1.000000
7483,2021-10-03 20:00:00,13300260,0.022199605388481095,0.056032177698823335,0.041545367143841515,3629971820.17437988,202581698698.74785328,0.000000
7484,2021-10-03 20:59:56,13300533,0.02219971128166267,0.05503620070152571,0.04077266364165557,3628921052.42953611,202712718005.22332112,1.000000
7485,2021-10-03 22:00:00,13300807,0.02219978160547675,0.05429875879989573,0.040201475101852624,3628713541.03204907,202842030817.82598611,0.000000
7486,2021-10-03 23:00:03,13301081,0.02219989059874819,0.05397337927757109,0.03994952838747348,3630302893.87557758,202992363299.07246847,1.000000
7487,2021-10-04 00:00:00,13301355,0.02219999471250855,0.05444598076445336,0.040315313836716306,3632057666.82176322,202998647066.60027634,0.000000
7488,2021-10-04 00:59:56,13301628,0.02220007912446683,0.05443527268345196,0.04030702100481078,3632093970.10213483,203001961928.27785408,1.000000
7489,2021-10-04 02:00:00,13301902,0.022200197118979602,0.054361686447085916,0.040250037757332144,3632119622.01572838,203016459591.49405364,0.000000
7490,2021-10-04 03:00:03,13302176,0.022200299416563526,0.054260895303828674,0.04017199459646108,3632008460.43644223,203028684506.48518559,1.000000
7491,2021-10-04 04:00:00,13302450,0.02220042162341565,0.054248656165628704,0.040162518144915026,3631899222.39895933,203023813419.26546394,0.000000
7492,2021-10-04 04:59:56,13302723,0.022200513305152072,0.05423877950407632,0.040154871969444256,3631920262.43863467,203026050149.42707884,1.000000
7493,2021-10-04 06:00:00,13302997,0.022200594653916546,0.054076314150503756,0.040029116535599006,3631796070.57145295,203049608416.89491094,0.000000
7494,2021-10-04 07:00:03,13303271,0.02220069105256363,0.05401512740762466,0.0399817514410436,3631517948.75959685,203044942879.05997536,1.000000
7495,2021-10-04 08:00:00,13303545,0.02220082028896922,0.054065606386408234,0.040020822930990844,3631234492.53372642,203018204499.58665819,0.000000
7496,2021-10-04 08:59:56,13303818,0.022200886639538547,0.05399820322825275,0.039968653203553556,3630872226.41284811,203010305596.85848201,1.000000
7497,2021-10-04 10:00:00,13304092,0.02220098881829954,0.053946638789551325,0.039928748932388236,3630694131.62320063,203009331357.97506778,0.000000
7498,2021-10-04 11:00:03,13304366,0.022201094510169776,0.054082350235682544,0.04003377938339459,3630956942.76070138,202996959090.24081284,1.000000
7499,2021-10-04 12:00:00,13304640,0.022201204008974965,0.05406205669881152,0.04001807483587069,3630430670.89493454,202970436686.11355924,0.000000
7500,2021-10-04 12:59:56,13304913,0.02220130070220409,0.0541754352116467,0.0401058440527756,3630064564.21977745,202927293175.39513536,1.000000
7501,2021-10-04 14:00:00,13305187,0.022201389373318142,0.054287876482733075,0.04019288823703227,3630701513.51457617,202940478918.18977889,0.000000
7502,2021-10-04 15:00:03,13305461,0.022201472404177042,0.05434157961695707,0.040234473566458304,3630864084.74992183,202938489652.31313853,1.000000
7503,2021-10-04 16:00:00,13305735,0.022201562910570058,0.0539273011113459,0.03991378535418638,3630893466.22390886,203018947167.88682890,0.000000
7504,2021-10-04 16:59:56,13306008,0.022201675476236127,0.05384335106424496,0.03984883995407015,3630603259.86861000,203017842539.68056944,1.000000
7505,2021-10-04 18:00:00,13306282,0.022201804195686143,0.053772268914016506,0.03979383332479184,3630368360.87307913,203017204755.55720236,0.000000
7506,2021-10-04 19:00:03,13306556,0.022201898698206903,0.05385598990145232,0.039858611870806186,3630443675.62119471,203004446945.45880951,1.000000
7507,2021-10-04 20:00:00,13306830,0.022201985330928545,0.054215067473606104,0.040136591779943026,3630305316.30847023,202926910488.24803966,0.000000
7508,2021-10-04 22:00:00,13307377,0.022202201417279112,0.054853582633057854,0.040631106308309385,3630255299.11856852,202799521855.07431855,0.000000
7509,2021-10-04 23:00:03,13307651,0.022202293142016997,0.054552379690099656,0.04039772280636177,3630268239.32244456,202857200286.74712436,1.000000
7510,2021-10-05 00:00:00,13307925,0.02220239768189241,0.05451694484613166,0.0403702753210286,3630299077.02694125,202864771233.90623005,0.000000
7511,2021-10-05 00:59:56,13308198,0.022202480550307737,0.057389486324295434,0.0426035966981592,3630331226.66410267,202317954254.03717449,1.000000
7512,2021-10-05 02:00:00,13308472,0.02220259614819912,0.059305042300692466,0.04409303791907496,3629274251.50131526,201892832126.17573106,0.000000
7513,2021-10-05 03:00:03,13308746,0.022202727003536545,0.0620622813637403,0.04625108218871358,3628423947.52009243,201324992893.14323979,1.000000
7514,2021-10-05 04:00:00,13309020,0.022202822645780763,0.06674112738152416,0.0499318869058147,3640361226.00392578,201109951686.42505249,0.000000
7515,2021-10-05 04:59:56,13309293,0.022202965067744804,0.0682871113652865,0.05115271462366444,3641803301.59221675,200901012678.43041681,1.000000
7516,2021-10-05 06:00:00,13309567,0.02220311549242961,0.06773437624204957,0.050715394415436085,3641863322.43148294,201005455398.67575630,0.000000
7517,2021-10-05 07:00:03,13309841,0.022203182243490334,0.07020979259721252,0.05267690116080429,3642010822.30938613,200555207774.75534019,1.000000
7518,2021-10-05 08:00:00,13310115,0.022203355162924387,0.07029877746711272,0.052747393943882115,3641994278.87989140,200536271444.85419337,0.000000
